   111 -0.106600 0.046400 -0.060400 -0.019983 0.007182 -0.999775 -0.199416 -0.979910 -0.003126 -0.979712 0.199309 0.021013 1.001220
   112 -0.106600 0.046400 -0.060400 -0.199415 -0.979910 -0.003078 0.019993 -0.007135 0.999775 -0.979711 0.199309 0.021013 -0.003669
   113 -0.106600 0.046400 -0.060400 -0.019993 0.007135 -0.999775 -0.199415 -0.979910 -0.003078 -0.979711 0.199309 0.021013 -0.001674
   121 -0.102000 0.063100 -0.025600 0.002052 0.004328 -0.999989 -0.263389 -0.964678 -0.004725 -0.964688 0.263395 -0.000840 1.001147
   122 -0.102000 0.063100 -0.025600 0.002064 0.004370 -0.999988 -0.263389 -0.964678 -0.004769 -0.964688 0.263395 -0.000840 -0.005711
   123 -0.102000 0.063100 -0.025600 -0.263389 -0.964678 -0.004769 -0.002064 -0.004370 0.999988 -0.964688 0.263395 -0.000840 0.000298
   131 -0.108500 0.030200 -0.026600 0.001278 0.002463 -0.999996 -0.103828 -0.994592 -0.002545 -0.994594 0.103831 -0.001015 1.000192
   132 -0.108500 0.030200 -0.026600 0.001275 0.002433 -0.999996 -0.103828 -0.994592 -0.002515 -0.994594 0.103831 -0.001015 -0.009976
   133 -0.108500 0.030200 -0.026600 -0.103828 -0.994592 -0.002515 -0.001275 -0.002433 0.999996 -0.994594 0.103831 -0.001015 -0.002037
   141 -0.109900 0.013100 -0.062700 -0.031955 0.002391 -0.999486 -0.034786 -0.999394 -0.001339 -0.998884 0.034725 0.032018 0.999624
   142 -0.109900 0.013100 -0.062700 -0.034784 -0.999394 -0.001298 0.031956 -0.002350 0.999487 -0.998884 0.034725 0.032018 -0.001381
   143 -0.109900 0.013100 -0.062700 -0.031956 0.002350 -0.999487 -0.034784 -0.999394 -0.001298 -0.998884 0.034725 0.032018 -0.001541
   211 -0.107400 0.032900 0.008000 -0.057891 0.008442 -0.998287 -0.101094 -0.994874 -0.002584 -0.993191 0.100771 0.058448 1.001059
   212 -0.107400 0.032900 0.008000 -0.101090 -0.994874 -0.002523 0.057898 -0.008381 0.998287 -0.993191 0.100771 0.058448 -0.006199
   213 -0.107400 0.032900 0.008000 -0.057898 0.008381 -0.998287 -0.101090 -0.994874 -0.002523 -0.993191 0.100771 0.058448 -0.003442
   221 -0.098900 0.040300 0.041300 -0.342912 0.059818 -0.937461 -0.159336 -0.987213 -0.004696 -0.925755 0.147760 0.348058 1.001519
   222 -0.098900 0.040300 0.041300 -0.342922 0.059755 -0.937461 -0.159314 -0.987217 -0.004636 -0.925755 0.147760 0.348058 -0.000343
