subID,sub,run,trial,direction,ResponseTime,MovementTime,ErrorAngle,AccelerationAngle,Accuracy,TimePeakVelocity,DistancePeakVelocity,PeakVelocity,PeakAcceleration,InitialDirectionAngle,Outlier,Keep,age,dist_sums,dist_std,dist_max,dist_means,path_lengths,angular_averages
VML_MEG_002,1,2,22,1,0.408,0.888,15.307,22.834,1,0.709,4.5974,36.276,354.89,15.4704168627333,0,1,1,429.928830112189,0.724526828628607,2.71001792375817,1.43309610037396,10.6660809711316,28.5948412418525
VML_MEG_002,1,2,23,-1,0.292,1.21,15.796,25.548,1,0.481,5.6686,49.16,396.01,15.7309123173911,0,1,1,1124.16504323573,2.34456577126998,7.29471342890256,3.74721681078578,12.824238660056,41.0682551050115
VML_MEG_002,1,2,24,-1,0.271,0.562,21.88,21.928,1,0.48,5.868,60.287,484.01,21.8551435733714,0,1,1,848.986813060307,1.86782401635378,5.57790922305785,2.82995604353436,15.387643297873,-17.8270529581751
VML_MEG_002,1,2,25,1,0.22,1.228,19.073,25.701,1,0.428,6.5387,60.656,446.03,19.0496049195063,0,1,1,1433.11533353118,3.33646640258804,9.82711748738353,4.7770511117706,18.3212748414707,-4.25223276423798
VML_MEG_002,1,2,26,-1,0.247,1.159,19.625,19.541,1,0.563,3.7683,25.104,139.61,19.6777381204896,0,1,1,626.079783853037,1.24591940789388,3.95078301891964,2.08693261284346,12.5390992864324,-13.2626641585306
VML_MEG_002,1,2,27,-1,0.306,1.106,23.189,21.184,1,0.504,2.7107,27.605,232.17,23.102428383941,0,1,1,700.690732456175,1.3981214803459,4.32206533325399,2.33563577485392,13.5006266194118,2.83842974055026
VML_MEG_002,1,2,28,1,0.186,1.309,23.928,28.749,1,0.49,4.4842,41.057,331.98,24.1235963565017,0,1,1,860.92754783686,1.91956913457574,5.71106157529491,2.86975849278953,12.9766309128205,30.1333694606743
VML_MEG_002,1,2,29,-1,0,1.374,22.506,22.735,1,0.508,7.4436,29.773,136.51,22.3834834853549,0,1,1,760.230990348553,1.78488922634634,5.23009419091579,2.53410330116184,14.1895671352956,39.0716122527056
VML_MEG_002,1,2,30,1,0.27,0.854,9.8824,21.393,1,0.42,4.6577,46.279,598.07,9.84765947698589,0,1,1,889.202277839263,1.69835457318965,5.14840460857948,2.96400759279754,12.1532743873274,-28.0353229661533
VML_MEG_002,1,3,1,1,0.256,1.236,22.063,27.563,1,0.614,7.3026,40.841,225.88,21.8525562602626,0,1,1,1026.18361241364,2.09002435271484,6.36149799776103,3.42061204137879,16.3663745996908,-1.83263787637591
VML_MEG_002,1,3,2,1,0.243,1.248,16.567,17.515,1,0.713,7.5205,27.212,162.96,16.5262050712629,0,1,1,751.264519225198,1.75564140635167,5.21394129888787,2.50421506408399,13.99687854321,-29.0960005501158
VML_MEG_002,1,3,3,-1,0.017,1.443,19.07,25.741,1,0.458,7.36,51.639,269.75,19.0897616718944,0,1,1,993.423428382556,2.6507876179823,7.69524391084834,3.31141142794185,15.406307195971,14.2513180631677
VML_MEG_002,1,3,4,1,0.253,1.216,17.917,34.596,1,0.429,3.1929,29.565,267.61,17.8987737342483,0,1,1,786.49988783114,1.62107998049245,5.0326229425669,2.62166629277047,11.3612377646071,20.4565476658437
VML_MEG_002,1,3,5,-1,0.298,1.183,40.436,49.509,1,0.378,6.3657,95.378,2842,40.2996770659212,0,1,1,1566.8998390112,3.86741618010056,12.7232517648742,5.22299946337065,26.5506354231822,22.8573660881597
VML_MEG_002,1,3,6,1,0.244,1.196,20.064,30.814,1,0.475,9.1904,45.417,704.59,19.9994783159027,0,1,1,1678.2470718625,3.13174212526835,9.7910582419461,5.59415690620835,20.499134006105,-25.7607244604291
VML_MEG_002,1,3,7,1,0.12,0.79,25.485,38.109,1,0.282,5.1249,53.83,448.71,25.5202079340126,0,1,1,943.547852548427,2.02926090565475,6.25602582362751,3.14515950849476,13.9396579979072,29.7796543061679
VML_MEG_002,1,3,8,1,0.286,1.04,15.34,19.528,1,0.421,6.4881,72.009,1125.6,15.3398130486769,0,1,1,1497.07421600438,3.08569266935719,9.49611618134804,4.99024738668125,17.5328329029948,-41.6454822160911
VML_MEG_002,1,3,9,-1,0.029,1.088,18.556,-16.309,1,0.46,4.2832,50.899,1510.7,17.9083720527912,0,1,1,899.195513511176,1.42056674591516,4.82413625415251,2.99731837837059,21.5798792721722,81.9441974095059
VML_MEG_002,1,3,10,-1,0.222,1.281,14.526,19.912,1,0.528,8.1961,58.932,305.23,14.4674965516222,0,1,1,983.08617553001,2.26065295689156,6.72350727145981,3.27695391843337,16.7643697477354,-31.9187165243716
VML_MEG_002,1,3,11,1,0.351,0.789,7.304,8.048,1,0.58,6.331,60.528,445.7,7.30059930376637,0,1,1,893.885154244869,2.22639434884817,6.55206135588949,2.97961718081623,13.827152111687,-31.2409920009597
VML_MEG_002,1,3,12,-1,0.406,1.053,28.766,22.774,1,0.545,4.9321,56.511,616.93,28.8444027148259,0,1,1,1240.42975732026,2.53857125354598,7.8216602768652,4.13476585773419,15.8884459657078,-38.2830845745534
VML_MEG_002,1,3,13,1,0.129,1.373,-2.4824,7.5613,1,0.39,3.5087,27.2,143.97,-2.53191283738482,0,1,1,659.600629443543,1.4074173789027,4.10315126451236,2.19866876481181,11.5906516027667,70.8992672363427
VML_MEG_002,1,3,14,-1,0.348,1.135,35.688,42.352,1,0.48,5.9948,68.317,1138.4,35.6833160977769,0,1,1,1519.91495524698,3.05983079222752,9.78519040343113,5.0663831841566,19.2293432574469,19.7062630260326
VML_MEG_002,1,3,15,1,0.31,0.217,2.1527,15.374,1,0.468,7.8191,79.603,889.2,2.15691543902915,0,1,1,383.743663920155,0.684528912412007,2.1222714085024,1.27914554640052,11.5227801330339,-8.35016795147214
VML_MEG_002,1,3,16,-1,0.094,0.866,41.559,36.804,1,0.304,5.7357,46.375,295.22,41.6049510998015,0,1,1,1134.1767988346,2.50607385028063,7.55054957764547,3.78058932944866,18.9256493490976,103.365955237456
VML_MEG_002,1,3,17,-1,0.35,0.947,1.6181,-4.1559,1,0.464,3.6142,39.963,1781.4,1.60976714659535,0,1,1,758.294541878595,1.48399680923375,4.74631941395585,2.52764847292865,12.3286673526589,17.7547489006067
VML_MEG_002,1,3,18,1,0.271,0.82,18.035,26.241,1,0.457,4.7897,48.849,394.23,17.9992995247116,0,1,1,661.237464717084,1.39363255903801,4.28978933287996,2.20412488239028,12.2871829272998,-4.44453657656321
VML_MEG_002,1,3,19,1,0.184,1.28,21.149,41.624,1,0.534,4.2288,25.738,131.98,20.9815723702949,0,1,1,598.950244497258,1.12880190427405,3.86890084810239,1.99650081499086,11.3332325894621,61.7477174874978
VML_MEG_002,1,3,20,1,0.004,0.735,30.462,42.119,1,0.427,6.1588,41.27,309.93,30.3718674196016,0,1,1,824.509808792375,1.41643808012207,4.6913596520117,2.74836602930792,14.4806864721127,96.2475172127692
VML_MEG_002,1,3,21,-1,0.427,1.086,21.271,4.7849,1,0.599,4.9737,37.372,6630.5,21.1749077688687,0,1,1,1286.8381746111,2.47331341564685,7.48391795491583,4.28946058203701,17.7393724940321,-15.7318203325598
VML_MEG_002,1,3,22,-1,0.303,0.976,13.931,27.53,1,0.433,4.6978,55.607,678.78,13.9451561920097,0,1,1,1095.6810394249,2.17729821403965,6.64253689609775,3.65227013141632,13.6467706232999,-38.1641647752614
VML_MEG_002,1,3,23,-1,0.313,0.943,44.282,43.236,1,0.444,4.6261,47.818,5180.4,44.225013653186,0,1,1,1055.86756700117,2.01748872610618,6.65163829716515,3.51955855667056,15.6716816821373,77.4630587584132
VML_MEG_002,1,3,24,1,0.264,1.199,26.328,38.616,1,0.483,5.0918,43.374,275.54,26.2990866950575,0,1,1,699.659519440887,1.45607432024961,4.63794523660435,2.33219839813629,13.2702401811161,34.4324237279764
VML_MEG_002,1,3,25,1,0.386,1.119,3.4994,4.6512,1,0.511,2.8644,31.576,549.1,3.63601234553608,0,1,1,675.803017466266,1.08531301812041,3.34182301983278,2.25267672488755,11.4102996883066,-67.0899165834447
