1	1	-1	1	0.349	1.024	4.3903	6.1214	3.3388	4.2234	53.232	1055.9
1	2	1	1	0.299	1.167	-13.598	-9.1269	-14.448	7.1193	81.01	775.67
1	3	-1	1	0.384	1.069	1.0448	-3.3358	-0.89402	3.5761	21.126	115.09
1	4	1	1	0.223	1.056	-16.038	-12.828	-14.048	3.8744	44.545	411.77
1	5	1	1	0.318	1.148	0.89519	9.7389	2.669	3.2286	35.7	602.37
1	6	-1	1	0.31	0.695	4.4497	-4.093	8.2396	4.9633	48.484	546.11
1	7	-1	1	0.286	1.204	-12.605	-11.024	-8.3658	4.4076	40.616	342.04
1	8	-1	1	0.343	1.059	4.7739	3.5511	6.4576	4.5116	34.513	954.48
1	9	1	1	0.323	1.156	-21.644	-29.406	-17.772	3.8146	35.047	466.65
1	10	1	1	0.289	1.21	-5.6811	-9.8769	2.1297	4.805	45.362	630.55
2	1	1	1	0.267	1.213	45.364	48.752	45.323	4.7811	50.156	457.34
2	2	1	1	0.297	1.19	25.131	30.306	23.094	3.1517	38.712	678.73
2	3	-1	1	0.326	1.174	46.897	39.262	49.489	4.053	37.983	946.45
2	4	-1	1	0.325	1.168	46.476	48.468	42.882	6.0952	86.772	5959.1
2	5	1	1	0.187	0.856	15.079	17.855	38.408	7.3863	38.725	326.38
2	6	-1	1	0.272	1.167	46.412	47.927	52.149	6.1288	66.479	559.63
2	7	1	1	0.07	1.087	8.9835	11.222	15.446	7.0001	28.727	223.91
2	8	-1	1	0.265	1.221	-149.75	28.144	-113.87	8.451	44.347	521.41
2	9	1	1	0.276	1.171	4.1764	3.5834	15.897	5.2182	51.468	404.68
2	10	1	1	0.171	1.324	36.566	37.856	46.227	3.381	32.834	298.23
2	11	-1	1	0.32	1.155	20.307	20.224	17.792	7.1785	68.755	556.02
2	12	1	1	0.035	1.206	32.408	33.323	53.312	5.6806	24.157	160.16
2	13	1	1	0	1.46	4.8813	10.161	31.866	10.138	32.921	220.07
2	14	-1	1	0.336	1.159	29.622	26.834	-141.47	4.9293	41.077	261.54
2	15	1	1	0.198	1.231	2.8557	2.8551	15.068	4.4893	47.224	379.26
2	16	-1	1	0.243	1.104	37.141	30.218	51.839	3.4311	34.292	312.49
2	17	1	1	0.226	1.228	14.684	13.708	25.868	7.9594	42.29	431.61
2	18	-1	1	0.055	1.226	29.336	28.161	0.16142	4.3701	32.323	306.95
2	19	1	1	0.221	1.278	12.013	5.1496	36.451	4.5504	23.184	166.89
2	20	-1	1	0.325	0.729	-147.49	24.95	-136.46	5.3391	50.099	986.59
2	21	-1	1	0.316	1.171	38.549	31.117	44.209	4.4952	36.793	272.23
2	22	1	1	0.376	1.059	8.1019	15.307	26.973	4.5974	36.276	354.89
2	23	-1	1	0.292	1.21	17.182	15.796	25.548	5.6686	49.16	396.01
2	24	-1	1	0.276	1.136	24.957	21.88	22.024	5.868	60.287	484.01
2	25	1	1	0.22	1.228	19.346	19.073	25.701	6.5387	60.656	446.03
2	26	-1	1	0.247	1.159	21.836	19.625	19.541	3.7683	25.104	139.61
2	27	-1	1	0.306	1.106	25.497	23.189	21.184	2.7107	27.605	232.17
2	28	1	1	0.186	1.309	19.696	23.928	28.749	4.4842	41.057	331.98
2	29	-1	1	0	1.374	25.982	22.506	22.735	7.4436	29.773	136.51
